arm,ticker,accession,formation,span,flagged,quote,condition,localised,keyword_flagged,host_sector
unplanted_reread,BTU,0001193125-20-326738,2021-02-28,,False,,,False,True,Energy
unplanted_reread,EBS,0001367644-22-000135,2022-10-31,,False,,,False,True,Health Care
unplanted_reread,RCL,0001104659-21-026708,2021-02-28,,False,,,False,True,Consumer Discretionary
unplanted_reread,ARR,0001428205-20-000314,2021-01-31,,False,,,False,False,Financials
unplanted_reread,AGEN,0001193125-18-297322,2018-12-31,,False,,,False,False,Health Care
unplanted_reread,NEO,0001077183-22-000176,2022-12-31,,False,,,False,True,Health Care
unplanted_reread,SPG,0001104659-20-042357,2020-05-31,,False,,,False,True,Real Estate
unplanted_reread,XEL,0000072903-21-000079,2021-10-31,,False,,,False,False,Utilities
unplanted_reread,SPG,0001104659-20-135064,2021-01-31,,False,,,False,True,Real Estate
unplanted_reread,AGIO,0001193125-22-120194,2022-06-30,,False,,,False,False,Health Care
unplanted_reread,FIS,0001136893-21-000203,2021-10-31,,False,,,False,True,Financials
unplanted_reread,CLVT,0001764046-22-000166,2022-12-31,,False,,,False,True,Industrials
unplanted_reread,OGS,0001587732-21-000059,2021-07-31,,False,,,False,False,Utilities
unplanted_reread,LRMR,0000950170-25-063125,2025-07-31,,True,The acceptability of FXN concentrations as an RLSE to support approval will be a matter of review in a future marketing application,FDA agreement on frataxin concentration as a surrogate endpoint,True,False,Health Care
unplanted_reread,AR,0001104659-19-004086,2019-03-31,,False,,,False,False,Energy
unplanted_reread,OKE,0001039684-20-000082,2021-02-28,,False,,,False,False,Energy
unplanted_reread,LUMN,0001193125-22-304791,2022-12-31,,False,,,False,False,Communication
unplanted_reread,BCRX,0001171843-19-004220,2019-08-31,,False,,,False,True,Health Care
unplanted_reread,CLX,0001206774-21-001046,2021-06-30,,False,,,False,False,Consumer Staples
unplanted_reread,PYPL,0001193125-22-156247,2022-06-30,,False,,,False,True,Financials
unplanted_reread,CCO,0001193125-20-091896,2020-05-31,,False,,,False,True,Communication
unplanted_reread,IBRX,0001193125-25-164789,2025-07-31,,False,,,False,True,Health Care
unplanted_reread,SAGE,0001193125-25-012790,2025-01-31,,False,,,False,False,Health Care
unplanted_reread,AMRX,0001723128-23-000006,2023-04-30,,False,,,False,True,Health Care
unplanted_reread,MRCY,0001049521-21-000025,2021-06-30,,False,,,False,False,Industrials
unplanted_reread,APPS,0001628280-24-038529,2024-09-30,,False,,,False,False,Information Technology
unplanted_reread,IOVA,0001104659-21-080846,2021-07-31,,False,,,False,False,Health Care
unplanted_reread,ASPS,0001462418-20-000008,2020-05-31,,False,,,False,False,Real Estate
unplanted_reread,WEC,0000107815-21-000087,2021-03-31,,False,,,False,False,Utilities
unplanted_reread,NFE,0001749723-24-000125,2025-01-31,,False,,,False,True,Energy
unplanted_reread,ADNT,0001670541-19-000014,2019-04-30,,False,,,False,True,Consumer Discretionary
unplanted_reread,ADMA,0001193805-21-000065,2021-01-31,,False,,,False,True,Health Care
unplanted_reread,BMRC,0001403475-19-000029,2019-08-31,,False,,,False,False,Financials
unplanted_reread,ABEO,0001104659-19-074462,2020-02-29,,False,,,False,True,Health Care
unplanted_reread,AGL,0001628280-24-007195,2024-04-30,,False,,,False,True,Health Care
unplanted_reread,WLFC,0001018164-25-000156,2025-12-31,,False,,,False,False,Industrials
unplanted_reread,ACDC,0001104659-25-123836,2025-12-31,,False,,,False,False,Energy
unplanted_reread,AHT,0001232582-19-000046,2019-08-31,,False,,,False,False,Real Estate
unplanted_reread,OXY,0001140361-20-019096,2020-10-31,,False,,,False,False,Energy
unplanted_reread,RUN,0001193125-21-237695,2021-10-31,,False,,,False,False,Industrials
unplanted_reread,PSX,0001534701-20-000160,2021-01-31,,False,,,False,False,Energy
unplanted_reread,LW,0001104659-21-127749,2021-10-31,,False,,,False,True,Consumer Staples
unplanted_reread,HE,0000354707-21-000014,2021-03-31,,False,,,False,False,Utilities
unplanted_reread,MOH,0001437749-25-035866,2025-12-31,,False,,,False,True,Health Care
unplanted_reread,MVIS,0001493152-26-010200,2026-04-30,,False,,,False,False,Information Technology
unplanted_reread,M,0000794367-20-000074,2020-05-31,,False,,,False,False,Consumer Discretionary
unplanted_reread,CNC,0001071739-20-000014,2020-02-29,,False,,,False,False,Health Care
unplanted_reread,ARCT,0001193805-25-000946,2025-07-31,,False,,,False,True,Health Care
unplanted_reread,DJT,0001140361-25-020095,2025-07-31,,False,,,False,True,Communication
unplanted_reread,ADNT,0001670541-24-000135,2025-01-31,,False,,,False,True,Consumer Discretionary
unplanted_reread,LVS,0001300514-21-000144,2021-10-31,,False,,,False,True,Consumer Discretionary
